stable_gens,density,c,nSpecies,boardSize,dispersal,demes,alpha,bLim,maxDens,richness,gens,self
0.10975019203515626,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,6.0,497.0,0.0
0.11000333033630764,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,6.0,535.0,0.0
0.10869293673033761,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,7.0,489.0,0.0
0.10851175814367538,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,8.0,442.0,0.0
0.11147828042245483,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,8.0,476.0,0.0
0.1096902852253525,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,5.0,648.0,0.0
0.11092678693668338,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,8.0,436.0,0.0
0.10938164552877126,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,3.0,880.0,0.0
0.10899357181190412,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,8.0,268.0,0.0
0.10988539512363463,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,8.0,391.0,0.0
0.10990149490324172,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,3.0,596.0,0.0
0.0962762644842736,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,1.0
0.0963107895127209,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,40.0,1030.0,1.0
0.09676496940398027,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,42.0,1144.0,1.0
0.0980471853195473,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,48.0,1295.0,1.0
0.09771852145197722,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,1.0
